movie,title,rate,author,date,content,label
theBeach,"""The Beach"" - An experience",9/10,prashanthmn,7/5/2007,":Trust Me, Its Paradise

'The Beach' is a kinda of movie the feel of which surrounds you slowly and completely.

I'd say Danny Boyle has done complete justification to the book. The movie captures the essence of the book. I watched the movie first and then read the book. The beach can be better experienced thru the movie. The music (by Angelo Badalamenti) is excellent, but unfortunately not popular( which is why I believe popular is not always the best ;-)). DiCaprio proves how versatile and powerful he is as an actor. A must watch for DiCaprio fans. Purchase an original DVD and you'll get to see alternate beginning and alternate climax of the movie with director's comments. You will like this movie especially if you are a crazy traveler and like to explore unseen and untouched places.

Direction, location, music and DiCaprio are the strengths of the movie. 'The Beach' is not just a movie, its an experience.

:never refuse an invitation, never resist the unfamiliar. Just keep your mind open and suck in the experience........",pos
theBeach,Horrible stuff..,1/10,carloshache,15/4/2006,"Entertaining in parts, but as a whole it's pure manure.

This movie is generally about the sociopath Richard( DiCaprio),in his elitist pursuit of pleasure, sex and holiday paradise. He goes to great length in pursuing this, using lies, deceit and violence to get what he wants. He gets to know about a secluded Thai beach, and makes friends with a french guy and his girlfriend in order to steal the girlfriend from the guy.. The trio finds their ""paradise"" on an island that's part occupied by some armed and crazy Thai marijuana farmers, and the other part; a crazy hippie collective . The hippies are driven by a collective fear of getting their tropical paradise discovered, so they use fascistic methods when silencing members of the society to not reveal the secrets of the whereabouts of their beautiful beach/self made tropical paradise ""community"".

The hippie commune, is still a slave to consumerism society, and not the alternative society that it is set out to be. Just like Richard, the members of the community goes to great length in defending their right to ""fun"" and ""pleasure"", taking a blind fold to the ones that get hurt and killed in their pursuit. The goal of the commune is elitist and fascist, the means of using violence is motivated by keeping out other tourists and people the commune doesn't want out of this beach-resort. Richard makes everything he can to do the same things. He is everything that goes bad with the commune inpersonated.. He's not able to feel any empathy or understanding for anyone, the only time he openly questions the fascism of the commune is when his own life is on the line in order to save it. In other cases he walks away, and still ""feels good being in paradise"".

Well the movies meaning wasn't supposed to be about this. The director somehow thought that we should see any kind of sympathy and actually care about what happens to Richard, and forgive him for his actions, instead he is the only guy in this movie that is actually disgustingly inhumane. Maybe he thought we should have been blazed by the star quality of Di Caprio. But truthfully, He is nothing more than a stupid parody of idiotic travellers who think they can behave anyhow they like in any foreign exotic location. The unintentional satire is exaggerating this, making him a total psychopath. He is not just a someone who quietly takes orders, the nazi-like leader of the commune; Sal is his peer. The same person, but with power.

DiCaprios character is somebody you would want the director to have shot off early in the movie. Even if it was the meaning of the director to show DiCaprio as a total a-hole, this a-hole definitely isn't good company for the two hours. This is not the only bad thing about the movie. It's slow scenes, extremely bad computer animations and the horribly outdated brit-pop soundtrack makes it an equally painful experience to watch.

The movies ending is nothing but Richard being nostalgic about his beach adventures in his normal-life setting, not having learned any lesson or gained any emotional strength. The viewer is also encouraged to join his nostalgia for his blood stained paradise.

Why go to such great lengths anyway to get away from the mass tourists? Go to the Philipines or any place that isn't as crowded as Thailand. Stupid movie.",neg
theBeach,Cult movie potential,8/10,Dockelektro,1/2/2002,"Like the many times referenced ""Apocalypse Now"", this one could really reach the status of cult movie among the nature lovers and hippy heirs. The movie its all the perfect spots during the first half. The beach, the people, the rhythm, the actors, the music... all is stunning. They even sing Bob Marley by the fire. But the film's second half is strange, erratic, scattered, it leaves the awe-inspiring journey sense and centers in a strange and sudden ""mood"" by DiCaprio's Richard. This is where the letdown is fully, although the ending doesn't feel disappointing. As for the cult movie potential, I think the next generations must judge it, but it has a great deal of bitterness to it and if two years later the film isn't a ""word of mouth"" phenomenon, maybe it won't have such a cult afterall. Anyway, I thought it was a great work by the scottish team of ""Trainspotting"", the script is an asset, and I say it again, DiCaprio is not just a pretty face. Recomend it to all people from 18 up. Live it and think about it. I sure liked it anyway...
8 out of 11 found this helpful. Was this review helpful? Sign in to vote.
Permalink",pos
theBeach,After 16 years I just recently saw this...,7/10,AlsExGal,11/12/2016,"... and I thought it was a pretty good film. When it first came out it was DiCaprio's presence that caused me not to watch it, and after watching him grow as an actor over the last 15 years, DiCaprio is what got me curious enough to give it a try.

DiCaprio plays Richard, a tourist who hates the tourist traps he can afford in Thailand. A guy in Richard's hotel named Daffy -for appropriate reasons - kills himself, but first draws a map to an island that he claims is nirvana. Richard convinces two French tourists to come with him and they actually do find a colony of people living outside of any civilization other than the one they have built for their own survival and pleasure. The leader is Sal (Tilda Swinton) who tells the three that the drug dealers who control the island allow them to stay there but have said there can be no more people joining them - it hurts their chances at having their thriving cannabis business remain undiscovered. Sal says that they can stay, but is bothered by the map, burns it, and asks if they gave a copy to anyone else. Richard lies and says no - he gave it to a group of stoners he met before they got there. Whether they are on their way there or are too drug addled to make the trip, Richard does not know. So he figures the lie will hurt nobody.

This is basically an adult ""Lord of the Flies"". The lesson it teaches is that no matter where you go, unfortunately your human nature and all that comes with it hitches a ride. That is why Richard could easily see the evils of the city but it took some time for problems to arise at ""the beach"". It's just a matter of more humans in one place than another.

And who would figure on a story in which armed drug dealers actually turn out to be the good guys, probably because they know the truth about human nature better than their nirvana seeking neighbors. To see what I mean, watch and find out.",pos
theBeach,"Backpacking in Thailand, oh yeah! :))",8/10,Juli-4,14/4/2002,"When I was travelling in Thailand, everyone was talking about the ""Beach"" and all backpackers aimed for its filming location, Koh Phi Phi. Although I watched a lot of good movies in the touristic cafes on Khao San Road in Bangkok and in Penang, Malaysia, I missed the ""Beach"" and came home wondering what it was all about. I finally saw it yesterday and in spite of a couple of flaws, I genuinely enjoyed it! First of all, it really shows the atmosphere of Thailand - the golden Buddha, the tiny rooms with thin partitions in the guesthouses, the markets, the internet cafes, the tourists' clothes and their very behavior... Second, the landscape is amazing, Leonardo is quite good, although he's had better movies in his career, but he's definitely very convincing in this role, and the girl playing Francois is quite charming. Also, the movie is funny! Third, this movie has a great moral message. Following the tradition of ""Lord of the Flies"" and others, it shows the dangers of separated communities, the disappearance of rules, regrets, the little value human life has in extreme situations, the dangers of a despotic ruler. It shows that the longed-for paradise might not actually be that easy to live in.",pos
theBeach,Hard to Sympathise,1/10,kabza,8/4/2013,"The Beach was a novel I originally read by Alex Garland - the movie was watched not long after. My tendency for movies not living up to the books they were based on were accounted for in the writing and rating of this review.

The main character is a short tempered, deluded, murderous, integrity-lacking wimp. It is hard to empathise with someone who loses their cool over minuscule things. In fact, the reactions from all the characters to situations they are exposed too seem highly unwarranted and excessive, aka ""over-acting"".

Secondly, did they really have to turn Richard - who was a somewhat intellectual character in the book - to an ignorant bimbo? This movie seems like it was targeted to brainless sixteen year olds.

Furthermore, you don't really relate to nor care much for someone who cheats on the woman he loves so easily right after helping her cheat on her boyfriend who was your friend. I almost hoped the movie would have a twist ending where he really did get his brains blown out.",neg
theBeach,As Appealing As A Trip To The Beach On A Rainy Day,4/10,Theo Robertson,10/12/2007,"Ah backpacking across the world . What an exciting thing it is - but only if you're a rare and remarkable person . Travelling all over the world isn't all it's cracked up to be . You might get a one night stand , you might get stoned but to be honest couldn't you have got that at home ? Did you really need to go the ends of the earth for that ? If you're a rare remarkable person you'll also get altitude sickness , suffer dysentery , catch ringworm and under go a rabies scare . You'll have wasted all your money on plane tickets and inoculations and the only thing you'll have to show for it is a small paragraph in the obituary column of the local newspaper after dying from a rare tropical disease

THE BEACH is very similar in many ways . It's based on a well regarded novel by Alex Garland , features Leonardo Dicaprio a megastar after his role in TITANIC and is directed by Danny Boyle one of Britain's greatest living directors and yet it's a film that is difficult to enjoy and it's easy to explain why - characterisation

Take one American pretty boy , send him in Thailand , stick him on an island with a bunch of selfish , unsympathetic people and watch a potentially good film fall apart . Did anyone like the characters in this movie ? Neither did I . I haven't read Garland's novel but I'm led to believe there's a scene where a giant squid is washed up on the beach and the characters eat it only to end up with food poisoning . I would have enjoyed this movie much more if all the characters had died from food poisoning . When you watch a movie and the most likable character is a mad mental foul mouthed dope smoking Scotsman then you know the producers have got a problem

Another thing I had problems with is the way Leonardo Dicaprio's character Richard suddenly turns from inquisitive backpacker into Colonel Kurtz . Something similar happens in another Boyle movie 28 DAYS LATER but at least in that movie you're aware of the character's motive even if it is fairly unconvincing . Here you do find yourself wondering the explanation ended up on the cutting room floor or even if it was excluded at draft stage . Not only that but you find that the characters remain unchanged by events at the end therefore there is zero character development

Danny Boyle has said that he makes quintessential British films and it's difficult to disagree with him . TRAINSPOTTING has a strong feel of time and place while 28 DAYS LATER mirrors the British apocalypse writers of the 1950s . THE BEACH with its exotic foreign location and its American star definitely feels like it's made for an American audience and Boyle tries too hard to pander to their taste . That's why THE BEACH is probably Boyle's weakest film to date",neg
theBeach,Did we really expect something better?,1/10,Sam-71,21/2/2000,"Once again, Hollywood has managed to lower the benchmark for a bad movie even further. This was such a bad movie that I felt myself constantly looking at my watch. I didn't even have to pay for it - but I still felt as though I had wasted 2 hours of my life.

The plot was terrible, and was so over the place that sometimes it just wasn't clear what was happening. The character development was non-existent. It was not clear why the characters did what they did and why they had become what they were.

**** Little spoiler ahead****

And when Leo went ""wild"", I was totally confused. Why? How? He just sudden;y turned into a savage and started running around the forest making traps and eating bugs. Plus the flash backs to the guy who gave him the map - were they dreams? Drug induced? Or did he have some tropical fever??????

The whole thing was so unrealistic that is was just pathetic. Leo can act, but it seems that all the budget was spent on him, and that they just pulled some backpackers off the street of Bangcok and said ""Do you wanna be in a movie?"". The only redeeming thing about this film was that the cinematograpgy was pretty good.

****Spolier ahead!*****

Another thing that bothered me was the shark scene. I'm sorry, but a whole lagoon would NOT fill up with blood if a shark attacked 2 or 3 people. Plus the shark itself was HORRIBLE! I haven't seen such a bad shark for ages!! The whole theatre laughed!!! It looked like a piece of painted foam. They should have borrowed the ""Jaws"" set from Universal or something.

This movie was so bad that it is not ever worth seeing. It was like MTV meets ""Lord of the Flies"" meets ""Apocolypse Now"" - taking the worst elements of each. You'd be better off using 2 hours of your life in any other way.",neg
theBeach,"Just when you thought it was safe to go back to the beach, this pops up.",2/10,twotrybe,7/11/2009,"I could not sit through this film. Maybe it's British sensibility but I quickly found the voice over narration totally annoying. As the character went through the pacing, I found myself not really caring about him. What a blow hard and naive little puppy. I do not fault Di Caprio's part but I do fault the writing. There is no logic in why this person does what he does unless he's a complete idiot. They walk into a field of marijuana like they are taking a leisurely stroll through Busch Gardens. Parts of Jamaica is like this and the tourist boards knows that. You can't go into certain parts of the island because there are marijuana fields under armed control. And with this film, everything is telegraphed with emotions. There are no surprises and common sense apparently is in extreme short supply. To say that I deplored this is an understatement as it became an insult to the intelligence of even a 5th grader.
7 out of 10 found this helpful. Was this review helpful? Sign in to vote.
Permalink",neg
theBeach,Travel Narrows the Mind Wonderfully,7/10,JamesHitchcock,17/8/2005,"Ever since (at least) the eighteenth century, with its cult of the ""noble savage"", tropical islands have frequently been seen in Western culture as the nearest that it is possible to come to Paradise on earth. This view is often reflected in the cinema, in films such as ""The Blue Lagoon"" or the various versions of ""Mutiny on the Bounty"", in which the idyll of Tahiti is contrasted with the rigours of life on board a British warship. The two versions of ""Lord of the Flies"", like the William Golding novel on which they are based, offer an ironic twist on this theme; a tropical island is used as the setting for an anti-Utopian story in which an attempt to found a new society ends in a relapse into barbarism.

""The Beach"" has certain similarities to ""Lord of the Flies"". The main character is Richard, an American backpacker travelling round Thailand, who has heard tales of a co-operative multi-national community of idealistic young people living on a beach on an island off the coast. Richard has dismissed these tales as mere urban legends, but changes his mind when another backpacker, Daffy, gives him a map showing where the mysterious beach can be found. Undeterred by the fact that Daffy commits suicide shortly afterwards, Richard sets out to go there accompanied by Etienne and Francoise, a young French couple whom he has befriended.

After a number of adventures, the three succeed in reaching the island and discover that the fabled community is no urban myth but a reality. At first they are welcomed into the group and spend their days leading a seemingly idyllic lifestyle, consisting of a small amount of time spent in fishing and large amounts of time spent in playing volleyball or beach cricket, lazing about smoking pot, or (for some obscure reason) translating various English phrases into Serbo-Croat. As with all films of this type, however, we quickly realise that this life is less perfect than it seems. Sexual tensions arise when Richard finds himself increasingly attracted to Francoise and she deserts her boyfriend Etienne for him. More seriously, there are flaws in the basic concept of the community.

The main flaw is that travel narrows the mind wonderfully. The community, mostly Westerners, have dropped out of their own societies and travelled halfway around the world to Thailand, but find Thai society no more congenial than those they have left behind. Their solution is to drop out of that too and to set up a ""beach resort for people who don't like beach resorts"" where they can live their own hedonistic idea of the hippie life. The community is not, however self-sufficient; they produce little for themselves, apart from fish, and have to import many of their supplies from the mainland, which they pay for by growing and selling cannabis. The island, in fact, is owned by a group of Thai farmers, themselves involved in a much larger cannabis-producing operation, who are happy to tolerate the newcomers provided they keep their community a secret and do not try to attract new recruits.

As in many anti-Utopian parables, the community is dominated by a sinister dictator-figure. ""Lord of the Flies"" had the choirboy Jack, ""Animal Farm"" had Napoleon and ""The Beach"" has Sal, an upper-class Englishwoman who is accepted as the leader of the community (although it is never clear how she attained this position). Sal is obsessed with protecting the community's privacy and secrecy, and in order to achieve this end she is prepared to resort to violence, even murderous violence. (She is deeply suspicious of Richard, who she suspects may have distributed further copies of Daffy's map). One of the film's most chilling incidents comes after Christo, one of the group, is seriously injured after being attack by a shark. He can only be saved if he is taken back to the mainland for immediate medical treatment, but because this might result in the community's existence being revealed to outsiders, Sal refuses to permit this and Christo is left to die.

There is some good acting in the film, especially from Tilda Swinton who gives a nicely judged performance as Sal, a woman with steely eyes and a cut-glass accent who for most of the movie can seem threatening without ever issuing any direct threats or even raising her voice. This increases the impact of the scene at the end where Sal finally does lose her cool. The beautiful Virginie Ledoyen makes a charming and unaffected Francoise, and I also liked Guillaume Canet as Etienne. Originally seen as a loser, the man who loses his girlfriend to Richard, Etienne later emerges as the community's voice of conscience, the one man who refuses to abandon the dying Christo.

It was, however, unfortunate that the director Danny Boyle, who wanted Ewan McGregor to play Richard, was overruled by the studio, as Leonardo di Caprio, although he is better here than he was in ""Titanic"", tends to overact. The film tends to deteriorate in the second half, with the plot becoming difficult to follow as Richard, alienated from his fellow-members of the group, starts to become mentally unstable. The style of direction was excessively hectic for my tastes, and the sequence where Richard imagines he is a character in a video game was particularly eccentric. Despite its potentially interesting themes, ""The Beach"" falls just short of being a very good film. 7/10",pos
theBeach,Getting away from it all may not be perfection paradise after all?,8/10,Spikeopath,4/3/2008,"I first viewed this film upon its release and felt that the final third did the film down - and that the voice-over took away from the essence of the story, thus it's average. My subsequent viewings over the years would see me lament about an arcade game sequence and bemoaning that Robert Carlyle wasn't given a more extended role, yet it has become a film that sees me totally on board with director Danny Boyle's production and it's now that I think it puts the story together with poignant precision.

Leonardo DiCaprio is Richard, a backpacker searching for a bit more in life, after a meeting with pot smoking loony Daffy (the wonderful Robert Carlyle), he learns of an island paradise that is everything he has yearned for in his life. Getting there will give him the adventure and danger he craves, because once there it apparently will be the thing of dreams, the perfect paradise cut off from civilisation...

The film is very much split in two, the first half introduces us to Richard and the people he would convince to travel with him to this island paradise, we then follow their journey that is perfect in fleshing out the characters, they come up against obstacles and learn about each other on the way. The second half is well worth waiting for because it's here that the story kicks in to make the viewer think, it's idyllic, it's gorgeous, it's near perfect, but wherever there is a community, there will be personal hang ups, jealousies, power seekers and etc, in short, the surroundings may be perfect but the human condition is far from flawless.

I love this film now, I love DiCaprio's performance, a cocky smart- arse thrill seeker about to get a wake up call is tailor made for him, and he delivers it with a skillful array of emotions. Director Danny Boyle does a great job of juggling the joys of paradise with the uneasy distortion of the various characters in the community, and the cinematography from Darius Khondji is truly beautiful (Thailand locales). The film suffers with the inevitable comparisons to Lord Of The Flies & Hearts Of Darkness, and yes these are fair comparisons, but it doesn't take away from the fact that it's a fine film for the modern generation in its own right, with the core point of the story relevant to all and sundry.

Fans of the novel would prove to be very ambivalent towards this filmic adaptation, but in my book it gets better on repeat viewings. 8/10",pos
theBeach,Garbage,1/10,sugar_daddyo,8/4/2006,"Has anyone actually paid to see this movie? whether in the theater or renting the movie? I caught it channel surfing one night and paused only long enough to figure out what I was watching and recall why I hate Leo. The only reason I am even wasting my time to write a review is because someone needs to counter the endless stream of 9s and 10s on this sight. If you ask me, this only degrades the quality of IMDb.

As for the reality, it is not even close. I spent two years in the tropics and life is very hard. You are sunburnt all the time, not tan, and sick from the monotony of the food, tropical diseases and storms. ***Spoiler follows*** watching Leo spear a dozen fish on his first try followed by a macho, ""I provide!"" moved something within me that I didn't know existed :{D= ***End of Spoiler***

What else is on!
15 out of 26 found this helpful. Was this review helpful? Sign in to vote.
Permalink",neg
theBeach,Lacking all the elements a movie needs!,3/10,Xophianic,13/2/2000,"I didn't want to see this movie in the first place; I just went because of two things. One is for my love of movies, and the other is because my girlfriend really wanted to see it. By the end of this movie, we both agreed that it was the crappiest movie we'd seen (at least in theaters) in a long time. THE BEACH lacked all the elements that I look for in a movie and that I think makes a movie important. I was really tempted to sneak out of that stupid movie and go see THE TIGGER STORY!

Richard (Leonardo DiCaprio), a young dope-addicted traveler who is trying to forget his past, meets a psycho named Daffy (Robert Carlyle) who gives him a map to a beautiful island/beach paradise before committing suicide. Richard, along with two more dope-addicts, Sal (Tilda Swinton) and Françoise (Virginie Ledoyen), set out to find this beach. What they find is a community living together without the evils of the world, struggling to keep their existence a secret so the rest of the world doesn't spoil it. It turns out Richard is the biggest danger to the secret of the community.

Sound like it might have a plot. Think again. This movie is completely plotless. At first, you may think it's a love story between Leonardo and Tilda, but that stop quickly. Then it seems like it is about Leonardo losing his sanity, but that quickly comes to an end as well. Then it seems a may be a fight between the community and another group living on the island, but that's not the case either. You will wait from the start to the end of this movie for the plot to start, but it will never come.

Another element this movie lacks, in fact probably the only element that is left for a movie with no plot, is character development. Leonardo's character in the beginning refuses to talk at all about his past. Godforbid we might actually get to know his character. You'll feel just the same about him in the beginning as you do in the end, with no development at all. The rest of the characters are also boring and don't get much better. The acting is nothing special. Leonardo does a fair job, but the horrible script prevents me from calling his performance anything great.

Unless you're a dedicated Leonardo fan, skip THE BEACH. I found it very long, boring, pointless and not entertaining.",neg
